(ABCHQV,0.0)	(ABCDQW,1.73205080757)	(ABCEQW,2.0)	(ABCDPW,2.0)	(ABCDPT,2.0)	(ABCDEV,2.0)	(ABCDET,2.2360679775)	(ABCDEF,2.2360679775)	(ABCDGV,2.2360679775)	(ABCIRS,2.2360679775)	(ABCDEW,2.2360679775)	1
(ABCDE,0.0)	(ABCDG,1.0)	(ABCDT,1.41421356237)	(ABCDI,1.41421356237)	(ABCDQ,1.41421356237)	(ABCDF,1.41421356237)	(ABCDW,1.41421356237)	(ABCEG,1.41421356237)	(ABCEI,1.73205080757)	(ABCEQ,1.73205080757)	(ABCD!,1.73205080757)	4242
(ABCDG,0.0)	(ABCEG,1.0)	(ABCDF,1.0)	(ABCDW,1.0)	(ABCDE,1.0)	(ABCEW,1.41421356237)	(ABCDV,1.41421356237)	(ABCDQ,1.73205080757)	(ABCDI,1.73205080757)	(ABCEV,1.73205080757)	(ABCDT,1.73205080757)	3338
(ABCDF,0.0)	(ABCDG,1.0)	(ABCDV,1.0)	(ABCDE,1.41421356237)	(ABCEV,1.41421356237)	(ABCDW,1.41421356237)	(ABCDT,1.41421356237)	(ABCEG,1.41421356237)	(ABCHV,1.73205080757)	(ABCEJ,1.73205080757)	(ABCEW,1.73205080757)	2215
(ABCDX,0.0)	(ABCDH,1.0)	(ABCDZ,1.0)	(ABCDP,1.0)	(ABCDI,1.41421356237)	(ABCDQ,1.41421356237)	(ABCDT,1.41421356237)	(ABCEZ,1.41421356237)	(ABCEH,1.41421356237)	(ABCEI,1.73205080757)	(ABCEQ,1.73205080757)	51
(ABCDZ,0.0)	(ABCDX,1.0)	(ABCEZ,1.0)	(ABCEJ,1.41421356237)	(ABCDV,1.41421356237)	(ABCDP,1.41421356237)	(ABCDH,1.41421356237)	(ABCHZ,1.41421356237)	(ABCDI,1.73205080757)	(ABCEH,1.73205080757)	(ABCDF,1.73205080757)	9
(ABCDQ,0.0)	(ABCDP,1.0)	(ABCEQ,1.0)	(ABCDI,1.41421356237)	(ABCGQ,1.41421356237)	(ABCHQ,1.41421356237)	(ABCDX,1.41421356237)	(ABCDW,1.41421356237)	(ABCDT,1.41421356237)	(ABCDE,1.41421356237)	(ABCEW,1.73205080757)	18
(ABCDP,0.0)	(ABCDT,1.0)	(ABCDQ,1.0)	(ABCDX,1.0)	(ABCEQ,1.41421356237)	(ABCDH,1.41421356237)	(ABCDV,1.41421356237)	(ABCDZ,1.41421356237)	(ABCDF,1.73205080757)	(ABCDE,1.73205080757)	(ABCEH,1.73205080757)	835
(ABCDFILO,0.0)	(ABCDFINO,1.0)	(ABCDFILM,1.0)	(ABCDFMNO,1.41421356237)	(ABCDFIMN,1.41421356237)	(ABCDFHIM,2.0)	(ABCDFIM\,2.0)	(ABCDFIN\,2.0)	(ABCDFIMZ,2.0)	(ABCDFHIN,2.0)	(ABCDFIMR,2.2360679775)	1
(ABCDT,0.0)	(ABCDV,1.0)	(ABCDP,1.0)	(ABCDQ,1.41421356237)	(ABCDX,1.41421356237)	(ABCEV,1.41421356237)	(ABCDF,1.41421356237)	(ABCDW,1.41421356237)	(ABCDE,1.41421356237)	(ABCEQ,1.73205080757)	(ABCEW,1.73205080757)	13
